ONS Neighbourhood,"Cumulative Rate (per 100,000 population) Excluding Cases Linked to Outbreaks in LTCH & RH",Cumulative Number of Cases Excluding Those Linked to Outbreaks in LTCH & RH,"Rate (per 100,000 population) in September 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in September 2020, Exlcuding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in August 2020 Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in August 2020, Exlcuding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in July 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in July 2020, Exlcuding Those Linked to Outbreaks in LTCH & RH",Total Population
Queenswood Heights,188,23,41,5,Suppressed,<5,Suppressed,<5,12240
Richmond,146,11,Suppressed,<5,Suppressed,<5,Suppressed,<5,7535
Rideau Crest - Davidson Heights,194,28,62,9,Suppressed,<5,Suppressed,<5,14470
Riverside Park,160,7,112,5,Suppressed,<5,Suppressed,<5,4455
Riverside South - Leitrim,252,35,109,15,Suppressed,<5,Suppressed,<5,14020
Riverview,363,22,165,10,Suppressed,<5,Suppressed,<5,6055
Rockcliffe Park,497,10,Suppressed,<5,Suppressed,<5,Suppressed,<5,2000
Rothwell Heights - Beacon Hill North,408,42,165,17,Suppressed,<5,175,18,10305
Sandy Hill,540,62,305,35,61,7,Suppressed,<5,11480
Skyline - Fisher Heights,256,11,Suppressed,<5,151,6,Suppressed,<5,4145
South Keys - Greenboro West,347,15,142,6,Suppressed,<5,142,6,4230
Stittsville,152,48,65,20,Suppressed,<5,Suppressed,<5,31395
Stonebridge - Half Moon Bay - Heart's Desire,279,46,86,14,Suppressed,<5,36,6,16620
Tanglewood,212,10,Suppressed,<5,Suppressed,<5,Suppressed,<5,4725
Trend-Arlington,164,8,Suppressed,<5,Suppressed,<5,Suppressed,<5,4890
Vanier North,337,35,154,16,Suppressed,<5,58,6,10320
Vanier South,509,33,278,18,92,6,Suppressed,<5,6540
Vars,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,2540
Wateridge Village,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,255
West Centretown,380,36,190,18,Suppressed,<5,Suppressed,<5,9460
Westboro,271,31,52,6,44,5,52,6,11440
Whitehaven - Queensway Terrace North,475,54,150,17,89,10,149,17,11455
Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,402,33,85,7,110,9,Suppressed,<5,8215
